,Name,College_y
111,"Edwards,Blue","['Louisburg  (1984–1986)', 'East Carolina (1986–1989)']"
112,"Eisley,Howard",Boston  (1990–1994)
113,"Elie,Mario",American International (1981–1985)
114,"Elliott,Sean",Arizona (1985–1989)
115,"Ellis,Dale",Tennessee (1979–1983)
116,"Ellis,LaPhonso",Notre Dame (1988–1992)
117,"Evans,Brian",Indiana (1992–1996)
118,"Ewing,Patrick",Georgetown (1981–1985)
119,"Feick,Jamie",Michigan State (1992–1996)
120,"Ferrell,Duane","High schoolCalvert Hall (Towson, Maryland)"
121,"Ferry,Danny",Duke (1985–1989)
122,"Finley,Michael",Wisconsin (1991–1995)
123,"Fisher,Derek",Little Rock (1992–1996)
124,"Fortson,Danny",Cincinnati (1994–1997)
125,"Foster,Greg","['UCLA (1986–1988)', 'UTEP (1988–1990)']"
126,"Fox,Rick",North Carolina (1987–1991)
127,"Foyle,Adonal",Colgate (1994–1997)
128,"Fuller,Todd",NC State (1992–1996)
129,"Funderburke,Lawrence","['Indiana (1989–1990)', 'Ohio State (1991–1994)']"
130,"Garnett,Kevin",
131,"Garnett,Marlon",Santa Clara (1993–1997)
132,"Garrett,Dean","['CC of San Francisco (1984–1986)', 'Indiana (1986–1988)']"
133,"Garrity,Pat",Notre Dame (1994–1998)
134,"Gatling,Chris",Old Dominion (1988–1991)
135,"Gaze,Andrew","High schoolAlbert Park (Melbourne, Victoria)"
136,"Geiger,Matt","['Auburn (1987–1989)', 'Georgia Tech (1990–1992)']"
137,"Gill,Kendall",Illinois (1986–1990)
138,"Gilliam,Armen","['Independence CC (1982–1983)', 'UNLV (1984–1987)']"
139,"Grant,Brian",Xavier (1990–1994)
140,"Grant,Gary",Michigan (1984–1988)
141,"Grant,Harvey",Clemson (1984–1985)Oklahoma (1985–1988)
142,"Grant,Horace",Clemson (1983–1987)
143,"Grant,Paul","['Boston  (1992–1995)', 'Wisconsin (1996–1997)']"
144,"Gray,Ed","['Tennessee (1993–1994)', ' of Southern Idaho (1994–1995)', 'California (1995–1997)']"
145,"Green,A.C.",Oregon State (1981–1985)
146,"Green,Litterial",Georgia (1988–1992)
147,"Gugliotta,Tom",NC State (1988–1992)
148,"Hammonds,Tom",Georgia Tech (1985–1989)
149,"Hardaway,Anfernee",Memphis (1990–1993)
150,"Hardaway,Tim",UTEP (1985–1989)
151,"Harper,Derek",Illinois (1980–1983)
152,"Harper,Ron",Miami (Ohio) (1982–1986)
153,"Harpring,Matt",Georgia Tech (1994–1998)
154,"Harrington,Al",
155,"Harrington,Othella",Georgetown (1992–1996)
156,"Harris,Lucious",Long Beach State (1989–1993)
157,"Hawkins,Hersey",Bradley (1984–1988)
158,"Hawkins,Michael",Xavier (1991–1995)
159,"Henderson,Alan",Indiana (1991–1995)
160,"Henderson,Cedric",Memphis (1993–1997)
161,"Henderson,J.R.",Duke (2006–2009)
162,"Hendrickson,Mark","['Basketball career', 'Personal informationNationalityAmericanListed height6\xa0ft 9\xa0in (2.06\xa0m)Listed weight220\xa0lb (100\xa0kg)Career informationHigh schoolMount Vernon(Mount Vernon, Washington)Washington State (1992–1996)NBA draft1996 / Round: 2 / Pick: 31st overallSelected by the Philadelphia 76ersPlaying career1996–2000PositionPower forwardNumber14, 42Career history1996–1997Philadelphia 76ers1997La Crosse Bobcats1997–1998Sacramento Kings1999La Crosse Bobcats1999New Jersey Nets1999–2000Cleveland Cavaliers2000New Jersey Nets2000La Crosse Bobcats', 'Career highlights and awards', '2× First-team All-Pac-10 (1995, 1996)', 'Career NBA  statisticsPoints381 (3.3 ppg)Rebounds316 (2.8 rpg)', 'Stats\xa0 at NBA.comStats\xa0 at Basketball-Reference.com']"
163,"Henson,Steve",Kansas State (1986–1990)
164,"Herrera,Carl","['Jacksonville  (1987–1989)', 'Houston (1989–1990)']"
165,"Hill,Grant",Duke (1990–1994)
166,"Hill,Tyrone",Xavier (1986–1990)
167,"Hoiberg,Fred",Iowa State (1991–1995)
168,"Honeycutt,Jerald",Tulane (1993–1997)
169,"Hornacek,Jeff",Iowa State (1982–1986)
170,"Horry,Robert",Alabama (1988–1992)
171,"Houston,Allan",Tennessee (1989–1993)
172,"Howard,Juwan",Michigan (1991–1994)
173,"Hudson,Troy","['Missouri (1994–1995)', 'Southern Illinois (1995–1997)']"
174,"Hughes,Larry","High schoolChristian Brothers (St. Louis, Missouri)"
175,"Hunter,Lindsey","['Alcorn State (1988–1989)', 'Jackson State (1990–1993)']"
176,"Ilgauskas,Zydrunas",
177,"Iverson,Allen",Georgetown (1994–1996)
178,"Jackson,Bobby","['Western Nebraska CC (1993–1995)', 'Minnesota (1995–1997)']"
179,"Jackson,Jaren",Michigan State (2017–2018)
180,"Jackson,Jim",Ohio State (1989–1992)
181,"Jackson,Mark",St. John's (1983–1987)
182,"Jackson,Randell",Florida State (1995–1998)
183,"Jacobson,Sam",Minnesota (1994–1998)
184,"James,Jerome",Florida A&M (1995–1998)
185,"Jamison,Antawn",North Carolina (1995–1998)
186,"Johnson,Anthony", of Charleston (1992–1997)
187,"Johnson,Avery","['New Mexico JC (1983–1984)', 'Cameron (1984–1985)', 'Southern (1986–1988)']"
188,"Johnson,Eddie",Illinois (1977–1981)
189,"Johnson,Ervin",New Orleans (1989–1993)
190,"Johnson,Larry","['Odessa (1987–1989)', 'UNLV (1989–1991)']"
191,"Jones,Charles",Albany State (1975–1979)
192,"Jones,Damon",Houston (1994–1997)
193,"Jones,Eddie",Temple (1991–1994)
194,"Jones,Popeye",Murray State (1988–1992)
195,"Jordan,Adonis",Kansas (1989–1993)
196,"Jordan,Reggie",UNLV (1975–1978)
197,"Keefe,Adam",Stanford (1988–1992)
198,"Kemp,Shawn",
199,"Kerner,Jonathan","['Florida State (1992–1994)', 'East Carolina (1995–1997)']"
200,"Kerr,Steve",Arizona (1983–1988)
201,"Kersey,Jerome",Longwood (1980–1984)
202,"Kidd,Jason",California (1992–1994)
203,"King,Chris",
204,"King,Gerard",Nicholls (1990–1995)
205,"Kittles,Kerry",Villanova (1992–1996)
206,"Kleine,Joe","['Notre Dame (1980–1981)', 'Arkansas (1982–1985)']"
207,"Knight,Brevin",Stanford (1993–1997)
208,"Knight,Negele",Dayton (1985–1990)
209,"Knight,Travis",UConn (1992–1996)
210,"Kukoč,Toni",
211,"Laettner,Christian",Duke (1988–1992)
212,"LaFrentz,Raef",Kansas (1994–1998)
213,"Lang,Andrew",Arkansas (1984–1988)
214,"Lang,Antonio",Duke (1990–1994)
215,"LaRue,Rusty",Wake Forest (1992–1996)
216,"Legler,Tim",La Salle (1984–1988)
217,"Lenard,Voshon",Minnesota (1991–1995)
218,"Lewis,Rashard",
219,"Livingston,Randy",LSU (1994–1996)
220,"Long,Grant",Eastern Michigan (1984–1988)
221,"Longley,Luc","High schoolScotch (Perth, Western Australia)"
222,"López,Felipe",St. John's (1994–1998)
223,"Lue,Tyronn",Nebraska (1995–1998)
224,"Lynch,George",North Carolina (1989–1993)
225,"Mack,Sam","['Iowa State (1988–1989)', 'Tyler JC (1990–1991)', 'Houston (1991–1992)']"
226,"MacLean,Don",UCLA (1988–1992)
227,"Macon,Mark",Temple (1987–1991)
228,"Mahorn,Rick",Hampton (1976–1980)
229,"Majerle,Dan",Central Michigan (1984–1988)
230,"Malone,Karl",Louisiana Tech (1982–1985)
231,"Maloney,Matt","['Vanderbilt (1990–1991)', 'Penn (1992–1995)']"
232,"Manning,Danny",Kansas (1984–1988)
233,"Marbury,Stephon",Georgia Tech (1995–1996)
234,"Marks,Sean","High schoolRangitoto (Auckland, New Zealand)"
235,"Marshall,Donyell",UConn (1991–1994)
236,"Martin,Darrick",UCLA (1988–1992)
237,"Mashburn,Jamal",Kentucky (1990–1993)
238,"Massenburg,Tony",Maryland (1986–1990)
239,"Maxwell,Vernon",Florida (1984–1988)
240,"Mayberry,Lee",Arkansas (1988–1992)
241,"McCarty,Kelly",Southern Miss (1994–1998)
242,"McCarty,Walter",Kentucky (1993–1996)
243,"McCloud,George",Florida State (1985–1989)
244,"McCoy,Jelani",UCLA (1995–1998)
245,"McDyess,Antonio",Alabama (1993–1995)
246,"McGrady,Tracy",
247,"McIlvaine,Jim",Marquette (1990–1994)
248,"McInnis,Jeff",North Carolina (1993–1996)
249,"McKey,Derrick",Alabama (1984–1987)
250,"McKie,Aaron",Temple (1991–1994)
251,"McLeod,Roshown","[""St. John's (1993–1995)"", 'Duke (1996–1998)']"
252,"Mercer,Ron",Kentucky (1995–1997)
253,"Meyer,Loren",Iowa State (1991–1995)
254,"Milič,Marko",
255,"Miller,Anthony",Michigan State (1991–1994)
256,"Miller,Brad",Purdue (1994–1998)
257,"Miller,Oliver",Arkansas (1988–1992)
258,"Miller,Reggie",UCLA (1983–1987)
259,"Mills,Chris","['Kentucky (1988–1989)', 'Arizona (1989–1993)']"
260,"Mills,Terry",Michigan (1987–1990)
261,"Minor,Greg",Louisville (1991–1994)
262,"Mitchell,Sam",Mercer (1981–1985)
263,"Mobley,Cuttino",Rhode Island (1994–1998)
264,"Mohammed,Nazr",Kentucky (1995–1998)
265,"Montross,Eric",North Carolina (1990–1994)
266,"Moore,Mikki",Nebraska (1993–1997)
267,"Morris,Chris",Auburn (1984–1988)
268,"Mourning,Alonzo",Georgetown (1988–1992)
269,"Mullin,Chris",St. John's (1981–1985)
270,"Murdock,Eric",Providence (1987–1991)
271,"Mureșan,Gheorghe",
272,"Murray,Lamond",California (1991–1994)
273,"Murray,Tracy",UCLA (1989–1992)
274,"Mutombo,Dikembe",Georgetown (1988–1991)
275,"N'Diaye,Makhtar","['Michigan (1993–1995)', 'North Carolina (1996–1998)']"
276,"Nash,Steve",Santa Clara (1992–1996)
277,"Nesby,Tyrone","['Vincennes (1994–1996)', 'UNLV (1996–1998)']"
278,"Nesterović,Rasho",
279,"Newman,Johnny",Richmond (1982–1986)
280,"Norris,Moochie","['Odessa (1992–1994)', 'Auburn (1994–1995)', 'West Florida (1995–1996)']"
281,"Nowitzki,Dirk",
282,"O'Bannon,Charles",UCLA (1993–1997)
283,"O'Neal,Jermaine",
284,"O'Neal,Shaquille",LSU (1989–1992)
285,"Oakley,Charles",Virginia Union (1981–1985)
286,"Olajuwon,Hakeem","High schoolMuslim Teachers (Lagos, Nigeria)"
287,"Oliver,Jimmy",Purdue (1988–1991)
288,"Ollie,Kevin",UConn (1991–1995)
289,"Olowokandi,Michael",Pacific (1995–1998)
290,"Ostertag,Greg",Kansas (1991–1995)
291,"Outlaw,Bo","['South Plains (1989–1991)', 'Houston (1991–1993)']"
292,"Overton,Doug",La Salle (1987–1991)
293,"Owens,Billy",Syracuse (1988–1991)
294,"Pack,Robert","['Tyler JC (1987–1989)', 'USC (1989–1991)']"
295,"Parker,Anthony",Bradley (1993–1997)
296,"Parks,Cherokee",Duke (1991–1995)
297,"Patterson,Andrae",Indiana (1994–1998)
298,"Patterson,Ruben","['Independence CC (1994–1996)', 'Cincinnati (1996–1998)']"
299,"Payton,Gary","['Salt Lake CC (2012–2014)', 'Oregon State (2014–2016)']"
300,"Peeler,Anthony",Missouri (1988–1992)
301,"Perdue,Will",Vanderbilt (1983–1988)
302,"Perkins,Sam",North Carolina (1980–1984)
303,"Perry,Elliot",Memphis (1987–1991)
304,"Person,Chuck",Auburn (1982–1986)
305,"Person,Wesley",Auburn (1990–1994)
306,"Phills,Bobby",Southern (1987–1991)
307,"Piatkowski,Eric",Nebraska (1990–1994)
308,"Pierce,Paul",Kansas (1995–1998)
309,"Pippen,Scottie",Central Arkansas (1983–1987)
310,"Pollard,Scot",Kansas (1993–1997)
311,"Polynice,Olden",Virginia (1983–1986)
312,"Pope,Mark","['Washington (1991–1993)', 'Kentucky (1994–1996)']"
313,"Porter,Terry",Wisconsin–Stevens Point (1981–1985)
314,"Potapenko,Vitaly",Wright State (1994–1996)
315,"Price,Brent","['South Carolina (1987–1989)', 'Oklahoma (1990–1992)']"
316,"Ratliff,Theo",Wyoming (1991–1995)
317,"Recasner,Eldridge",Washington (1986–1990)
318,"Reeves,Bryant",Oklahoma State (1991–1995)
319,"Reeves,Khalid",Arizona (1990–1994)
320,"Reid,Don",Georgetown (1991–1995)
321,"Reid,J.R.",North Carolina (1986–1989)
322,"Respert,Shawn",Michigan State (1990–1995)
323,"Rhodes,Rodrick","['Kentucky (1992–1995)', 'USC (1996–1997)']"
324,"Rice,Glen",Georgia Tech (2009–2012)
325,"Richardson,Pooh",UCLA (1985–1989)
326,"Richmond,Mitch","['Moberly Area CC (1984–1986)', 'Kansas State (1986–1988)']"
327,"Rider,Isaiah","['Allen CC (1989–1990)', 'Antelope Valley (1990–1991)', 'UNLV (1991–1993)']"
328,"Riley,Eric",Michigan (1989–1993)
329,"Roberts,Stanley",LSU (1989–1990)
330,"Robinson,Clifford",UConn (1985–1989)
331,"Robinson,David",Navy (1983–1987)
332,"Robinson,Glenn",Purdue (1992–1994)
333,"Robinson,James",
334,"Rodman,Dennis","['North Central Texas (1983)', 'Southeastern Oklahoma State (1983–1986)']"
335,"Rogers,Carlos","['Little Rock (1990–1991)', 'Tennessee State (1992–1994)']"
336,"Rogers,Rodney",Wake Forest (1990–1993)
337,"Rooks,Sean",Arizona (1988–1992)
338,"Rose,Jalen",Michigan (1991–1994)
339,"Rose,Malik",Drexel (1992–1996)
340,"Russell,Bryon",Long Beach State (1990–1993)
341,"Sabonis,Arvydas",
342,"Sasser,Jason",Texas Tech (1992–1996)
343,"Schayes,Danny",Syracuse (1977–1981)
344,"Schintzius,Dwayne",Florida (1986–1990)
345,"Schrempf,Detlef",Washington (1981–1985)
346,"Scott,Dennis",Georgia Tech (1987–1990)
347,"Sealy,Malik",St. John's (1988–1992)
348,"Seikaly,Rony",Syracuse (1984–1988)
349,"Shackleford,Charles",NC State (1985–1988)
350,"Shaw,Brian","[""Saint Mary's (1983–1985)"", 'UC Santa Barbara (1986–1988)']"
351,"Shaw,Casey",Toledo (1994–1998)
352,"Sheppard,Jeff",Kentucky (1993–1998)
353,"Simon,Miles",Arizona (1994–1998)
354,"Simpkins,Dickey",Providence (1990–1994)
355,"Sims,Alvin",Louisville (1993–1997)
356,"Skinner,Brian",Baylor (1994–1998)
357,"Slater,Reggie",Wyoming (1988–1992)
358,"Smith,Charles",Pittsburgh (1984–1988)
359,"Smith,Joe",Maryland (1993–1995)
360,"Smith,Michael",
361,"Smith,Steve",Michigan State (1987–1991)
362,"Smits,Rik",Marist (1984–1988)
363,"Snow,Eric",Michigan State (1991–1995)
364,"Spencer,Felton",Louisville (1986–1990)
365,"Sprewell,Latrell","['Three Rivers (1988–1990)', 'Alabama (1990–1992)']"
366,"Stack,Ryan",South Carolina (1994–1998)
367,"Stackhouse,Jerry",North Carolina (1993–1995)
368,"Starks,John",Oklahoma State (1987–1988)
369,"Stepania,Vladimir",
370,"Stewart,Michael",California (1993–1997)
371,"Stith,Bryant",Virginia (1988–1992)
372,"Stockton,John",Gonzaga (1980–1984)
373,"Stojaković,Peja",
374,"Stoudamire,Damon",Arizona (1991–1995)
375,"Strickland,Erick",Nebraska (1992–1996)
376,"Strickland,Mark",Temple (1989–1992)
377,"Strickland,Rod",DePaul (1985–1988)
378,"Strong,Derek",Xavier (1987–1990)
379,"Šundov,Bruno",
380,"Sura,Bob",Florida State (1991–1995)
381,"Taylor,Johnny","['Knoxville  (1993–1994)', 'Indian Hills CC (1994–1995)', 'Chattanooga (1995–1997)']"
382,"Taylor,Maurice",Michigan (1994–1997)
383,"Thomas,John",Indiana (1979–1981)
384,"Thomas,Kurt",TCU (1990–1995)
385,"Thomas,Tim",Villanova (1996–1997)
386,"Thorpe,Otis",Providence (1980–1984)
387,"Traylor,Robert",Michigan (1995–1998)
388,"Trent,Gary",Duke (2017–2018)
389,"Van Exel,Nick","['Trinity Valley CC (1989–1991)', 'Cincinnati (1991–1993)']"
390,"Van Horn,Keith",Utah (1993–1997)
391,"Vaughn,David",Memphis (1991–1995)
392,"Vaughn,Jacque",Kansas (1993–1997)
393,"Vaught,Loy",Michigan (1986–1990)
394,"Vranković,Stojko",
395,"Walker,Antoine",Kentucky (1994–1996)
396,"Walker,Samaki",Louisville (1994–1996)
397,"Wallace,Ben","['Cuyahoga CC (1992–1994)', 'Virginia Union (1994–1996)']"
398,"Wallace,John",Syracuse (1992–1996)
399,"Wallace,Rasheed",North Carolina (1993–1995)
400,"Walters,Rex","['Northwestern (1988–1990)', 'Kansas (1991–1993)']"
401,"Ward,Charlie",Florida State (1990–1994)
402,"Washington,Eric",
403,"Watson,Jamie",South Carolina (1990–1994)
404,"Weatherspoon,Clarence",LeagueMississippi Association of Community & Junior s
405,"Webber,Chris",Michigan (1991–1993)
406,"Wells,Bonzi",Ball State (1994–1998)
407,"Wennington,Bill",St. John's (1981–1985)
408,"Wesley,David","['Temple JC (1988–1989)', 'Baylor (1989–1992)']"
409,"West,Doug",Villanova (1985–1989)
410,"West,Mark",Old Dominion (1979–1983)
411,"Wheat,DeJuan",Louisville (1993–1997)
412,"Wheeler,Tyson",Rhode Island (1994–1998)
413,"White,Jahidi","High schoolCardinal Ritter  Prep(St. Louis, Missouri)"
414,"Whitney,Chris","['Lincoln Trail (1989–1991)', 'Clemson (1991–1993)']"
415,"Wilkins,Dominique",Georgia (1979–1982)
416,"Wilkins,Gerald","['Moberly Area CC (1981–1982)', 'Chattanooga (1982–1985)']"
417,"Williams,Aaron",Xavier (1989–1993)
418,"Williams,Alvin",Villanova (1993–1997)
419,"Williams,Brandon",No. 5 –  Park Skyhawks
420,"Williams,Eric","['Vincennes (1991–1993)', 'Providence (1993–1995)']"
421,"Williams,Herb",Ohio State (1977–1981)
422,"Williams,Hot Rod",Tulane (1981–1985)
423,"Williams,Jason","['Marshall (1995–1996)', 'Florida (1997–1998)']"
424,"Williams,Jayson",St. John's (1987–1990)
425,"Williams,Jerome","['Montgomery  (1992–1994)', 'Georgetown (1994–1996)']"
426,"Williams,Micheal",Baylor (1984–1988)
427,"Williams,Monty",Notre Dame (1989–1994)
428,"Williams,Scott",North Carolina (1986–1990)
429,"Williams,Shammond",North Carolina (1994–1998)
430,"Williams,Travis",
431,"Williams,Walt",Maryland (1988–1992)
432,"Williamson,Corliss",Arkansas (1992–1995)
433,"Willis,Kevin","['Jackson  (1980–1981)', 'Michigan State (1981–1984)']"
434,"Wingate,David",Georgetown (1982–1986)
435,"Winter,Trevor",Minnesota (1993–1997)
436,"Wolf,Joe",North Carolina (1983–1987)
437,"Workman,Haywoode","['Winston-Salem State (1984–1985)', 'Oral Roberts (1986–1989)']"
438,"Wright,Lorenzen",Memphis (1994–1996)
439,"Young,Korleone",
440,"Alston,Rafer","['Ventura CC (1994–1995)', 'Fresno CC (1996–1997)', 'Fresno State (1997–1998)']"
441,"Amaechi,John","['Vanderbilt (1990–1991)', 'Penn State (1992–1995)']"
442,"Atkins,Chucky",South Florida (1992–1996)
443,"Avery,William",Duke (1997–1999)
444,"Bender,Jonathan",
445,"Booth,Calvin",Penn State (1995–1999)
446,"Borrell,Lazaro",
447,"Bowdler,Cal",Old Dominion (1995–1999)
448,"Bowen,Ryan",Iowa (1994–1998)
449,"Bowman,Ira","['Providence (1991–1993)', 'Penn (1994–1996)']"
450,"Bramlett,A.J.",Arizona (1995–1999)
451,"Brand,Elton",Duke (1997–1999)
452,"Brown,Marcus",Murray State (1992–1996)
453,"Buckner,Greg",Clemson (1994–1998)
454,"Buford,Rodney",Creighton (1995–1999)
455,"Cage,Michael",San Diego State (1980–1984)
456,"Carter,Anthony","['Saddleback (1994–1996)', 'Hawaii (1996–1998)']"
457,"Celestand,John",Villanova (1995–1999)
458,"Cummings,Vonteego",Pittsburgh (1995–1999)
459,"Davis,Baron",UCLA (1997–1999)
460,"Davis,Emanual",Delaware State (1988–1991)
461,"Day,Todd",Arkansas (1988–1992)
462,"Dial,Derrick",Eastern Michigan (1994–1998)
463,"Ekezie,Obinna",Maryland (1995–1999)
464,"Ellison,Pervis",Louisville (1985–1989)
465,"Eschmeyer,Evan",Northwestern (1995–1999)
466,"Farmer,Tony",Lee (2015–2017)
467,"Foster,Jeff",Southwest Texas State (1995–1999)
468,"Francis,Steve","['San Jacinto (1996–1997)', 'Allegany (1997–1998)', 'Maryland (1998–1999)']"
469,"Garris,Kiwane",Illinois (1993–1997)
470,"George,Devean",Augsburg (1995–1999)
471,"Glover,Dion",Georgia Tech (1997–1998)
472,"Gray,Devin",Clemson (1991–1995)
473,"Griffin,Adrian",Seton Hall (1992–1996)
474,"Ham,Darvin","['Otero JC (1992–1993)', 'Texas Tech (1993–1996)']"
475,"Hamilton,Richard",UConn (1996–1999)
476,"Hamilton,Thomas",
477,"Harvey,Antonio","['Southern Illinois (1988–1989)', 'Georgia (1990–1991)', 'Pfeiffer (1991–1993)']"
478,"Herren,Chris","['Boston  (1994–1995)', 'Fresno State (1996–1999)']"
479,"Hood,Derek",Arkansas (1995–1999)
480,"Hughes,Rick",Thomas More (1992–1996)
481,"Jackson,Jermaine",Detroit Mercy (1995–1999)
482,"James,Tim",Miami (Florida) (1995–1999)
483,"Jamison,Harold",Clemson (1995–1999)
484,"Johnson,DeMarco",Charlotte (1994–1998)
485,"Johnson,Kevin",California (1983–1987)
486,"Jones,Jumaine",Georgia (1997–1999)
487,"Ketner,Lari",UMass (1996–1999)
488,"Langdon,Trajan",Duke (1994–1999)
489,"Lewis,Quincy",Minnesota (1995–1999)
490,"MacCulloch,Todd",Washington (1995–1999)
491,"Maggette,Corey",Duke (1998–1999)
492,"Marion,Shawn","['Vincennes (1996–1998)', 'UNLV (1998–1999)']"
493,"Marshall,Donny",UConn (1991–1995)
494,"Mason,Anthony",Tennessee State (1984–1988)
